Text,Sentiment
"Ketua Komisi Pemilihan Umum ( KPU ) Kota Jogja Noor Harsya Aryo Samudro menyebut ada penambahan satu tempat pemungutan suara ( TPS ) yang menjalani pemungutan suara ulang ( PSU ) yakni TPS 32 Pakuncen , Wirobrajan , Jogja .",1
"Sehingga total ada tiga TPS yang menjalani PSU , selain TPS 901 dan TPS 902 Lapas Kelas IIA Wirogunan Jogja .",1
"Terkait penyebab pelaksanaan PSU di TPS 32 Pakuncen Wirobrajan , Harsya tidak menjabarkan secara detail .",0
Dia hanya menyebutkan TPS ini akan menjalani PSU untuk pemilihan Presiden dan Wakil Presiden ( PPWP ) .,0
""" Benar bertambah satu TPS yang menjalani PSU di Kota Jogja . PSU 32 Pakuncen Wirobrajan hanya untuk penyelenggaraan PSU PPWP , "" jelasnya dihubungi melalui sambungan telepon , Jumat ( 23/2/2024 ) .",2
"Sesuai kebijakan dari KPU Daerah Istimewa Yogyakarta ( DIY ) , PSU berlangsung serentak 24 Februari 2024 .",1
"Termasuk untuk TPS 32 Pakuncen Wirobrajan maupun dua TPS di Lapas Wirogunan . "" Serentak besok ( Sabtu , 24/2 ) . Untuk DPT TPS 32 Pakuncen sejumlah 191 orang dan hanya untuk PPWP saja , "" katanya .",1
Sementara untuk TPS Lokasi Khusus Lapas Wirogunan tercatat ada 218 DPT .,1
Detailnya sebanyak 180 orang di TPS 902 dan 38 orang di TPS 902 .,1
Pelaksanaan PSU dikarenakan ada temuan kesalahan data .,0
Harsya menuturkan hak surat suara yang diberikan kepada pemilih tidak sesuai dengan kategori perpindahan daerah pemilihan pemilih .,0
Detailnya 7 pemilih di TPS 901 dan 1 pemilih di TPS 902 .,1
""" Pelaksanaan PSU besok dari pukul 07.00 WIB hingga 13.00 WIB . Untuk petugas KPPS masih sama dengan yang bertugas kemarin , "" ujarnya .",1
Massa yang mengatasnamakan diri Aliansi Rakyat Melawan Kecurangan menggelar aksi teatrikal di depan Istana Kepresidenan Yogyakarta atau Gedung Agung Jogja .,1
Massa menyuarakan soal Pemilu 2024 yang mereka sebut ada dugaan kecurangan .,0
"Pantauan detikJogja di lokasi , massa mulai berkumpul di depan Gedung Agung sekitar pukul 14.00 WIB .",1
Massa yang didominasi ibu-ibu tampak mengenakan baju bernuansa putih dengan hijab merah .,1
Sedangkan sebagian laki-laki mengenakan peci dan berkalung sorban .,1
"Setibanya di seberang Gedung Agung , sebagian massa tampak menampilkan aksi teatrikal .",1
"Mereka menggunakan topeng berwajah Presiden Joko Widodo , Gibran Rakabuming Raka , Ketua KPU Hasyim Asy'ari , serta Anwar Usman .",1
Aksi teatrikal tersebut menceritakan soal putusan Mahkamah Konstitusi ( MK ) terkait batas usia capres cawapres .,1
"Aksi ditutup dengan pemberian kartu merah untuk MK , KPU , dan Presiden .",0
"Usai aksi teatrikal tersebut , massa kemudian bergerak ke selatan menuju Titik Nol Kilometer Kota Jogja .",1
Mereka terus memukul kentongan bambu yang dibawa dan membentangkan spanduk .,0
"Koordinator Aksi , Mariana Ulfah mengatakan aksi ini merupakan respons dari Pemilu yang mereka anggap telah terjadi kecurangan sejak awal .",0
"Ia menambahkan , peserta aksi ini tidak ada hubungannya dengan salah satu paslon .",0
""" Nggak ( bukan simpatisan paslon 01 ) , yang gabung ada emak-emak , bapak-bapak , ada aktivis , ada mahasiswa , ada pemuda kampung , "" ujarnya kepada wartawan usai aksi , Jumat ( 23/2/2024 ) .",0
""" Karena kecurangan yang jelas ada di depan mata , tidak perlu ahli teknologi atau ahli apapun. Bahkan dari TPS banyak sekali kecurangan yang terjadi . Kesalahan input data yang berkali-kali itu sudah bukan human error lagi tapi sudah mengarah kepada kemungkinan kecurangan , "" lanjutnya .",0
Adapun pemilihan Gedung Agung sebagai tempat aksi menurut Ulfah lantaran Gedung Agung sebagai representasi Presiden .,1
Sedangkan kentongan bambu yang dibawa massa melambangkan tanda bahaya .,0
""" Teatrikal itu merepresentasikan kecurangan yang terjadi mulai dari proses awalnya . Dari MK yang meloloskan Gibran , lalu proses KPU ada Hasyim Asy'ari juga di situ . Itu adalah rentetan proses yang menurut kami kecurangan yang nyata , "" jelasnya .",0
"Dengan aksi ini, lanjut Ulfah , pihaknya menyampaikan beberapa tuntutan .",0
Salah satunya mendiskualifikasi paslon Capres-Cawapres nomor urut 02 Prabowo Subianto dan Gibran Rakabuming Raka .,0
""" Tuntutan yang pertama menolak hasil kecurangan Pemilu , yang kedua ( menuntut ) diskualifikasi Paslon 02 , terakhir adalah kartu merah untuk MK , KPU , dan Presiden , "" tutupnya .",0
"Sama seperti iklan sepeda motor yang pernah dibintanginya , perolehan suara komedian senior Alfiansyah Bustami , yang mengganti namanya menjadi Alfiansyah Komeng semakin terdepan pada Pemilu Legislatif Dewan Perwakilan Daerah ( DPD ) 2024 daerah pemilihan Jawa Barat .",1
"Dengan visi-misi sederhana yaitu membahagiakan warga Jawa Barat dan "" program kerja strategis "" memperjuangkan Hari Komedi Nasional serta mengembangkan seni budaya , pemilik diksi "" uhuy "" ini akan menjadi salah satu dari empat senator yang akan mewakili warga Jawa Barat di Senayan .",2
Komeng bukan komedian pertama yang menjadi Anggota DPD atau Senator Jawa Barat .,1
Sebelumnya ada Oni Suwarman atau lebih dikenal sebagai Oni SOS yang sempat satu grup dengan komedian Sule .,1
"Pada Pemilu 2014 , Oni meraih 2 juta suara .",1
"Bahkan , suaranya naik menjadi 4,1 juta pada Pemilu 2019 atau tertinggi se-Indonesia .",2
"Perolehan suara hingga jutaan untuk caleg DPD asal Jawa Barat bukan barang baru , mengingat provinsi ini jumlah pemilihnya terbesar .",2
"Pada Pemilu 2024 saja mencapai 35,7 juta pemilih .",2
"Sama seperti Komeng , Oni juga tidak mencetak spanduk atau baliho untuk berkampanye .",0
"Jika mencermati concern Komeng kepada seni dan budaya , maka saat nanti dilantik Komeng harusnya ada di Komite Komite III DPD RI yang salah satu lingkup tugasnya adalah memperhatikan urusan daerah dan masyarakat di bidang kebudayaan .",1
"Namun , yang jadi pertanyaan , bisakah Komeng dengan kapasitasnya sebagai senator merealisasikan penetapan Hari Komedi Nasional setiap 27 September yang diambil dari tanggal kelahiran seniman legendaris , multitalenta , dan maestro lawak Indonesia Bing Slamet ?",1
"Tampaknya , dengan viralnya perolehan suara Komeng , keinginannya agar Indonesia memiliki Hari Komedi Nasional tinggal menunggu waktu saja .",2
"Presiden mendatang kelihatannya akan mengeluarkan Keputusan Presiden ( Keppres ) Hari Komedi Nasional, melengkapi hari-hari nasional di bidang seni dan budaya lain yaitu Hari Musik Nasional ( setiap 9 Maret sesuai Keppres Nomor 10 Tahun 2013 ) dan Hari Film Nasional ( setiap 30 Maret sesuai Keppres Nomor 25 tahun 1999 ) .",1
"Artinya , tantangan besar Komeng ke depan adalah bagaimana mengembangkan dan memajukan seni budaya Jawa Barat dan Indonesia .",1
"Namun kembali muncul pertanyaan , apakah dengan kewenangan DPD yang sangat terbatas , Komeng mampu merealisasikan keinginannya dan aspirasi warga Jawa Barat ?",1
Ada pernyataan yang menarik dari Komeng saat ditanya alasannya memilih jalur DPD atau independen untuk berjuang .,2
"Dalam sebuah wawancara dengan sebuah stasiun televisi , Komeng memilih menjadi wakil rakyat lewat jalur DPD bukan DPR karena ingin aspirasinya dan aspirasi warga yang diwakilinya tidak dihalangi kepentingan partai politik .",1
Sebuah alasan yang tepat !,2
"Namun , niat baik ini dipastikan akan dihadapkan pada kenyataan terbatasnya kewenangan DPD RI yang oleh konstitusi sengaja didesain asal ada dan apa adanya .",2
"Hingga detik ini belum ada yang bisa menjelaskan secara rasional kenapa perwakilan senator "" dipukul rata "" empat orang tiap provinsi .",0
Tidak ada makna keterwakilan dalam DPD karena Undang-Undang Pemilu mengabaikan jumlah penduduk sebuah wilayah .,0
"Bayangkan 49,9 juta penduduk Jawa Barat , wakil rakyatnya di DPD sama dengan jumlah senator dari Kalimantan Utara yang penduduknya hanya 747 ribu .",0
Bandingkan dengan keterwakilan anggota DPR .,1
"Jawa Barat karena penduduknya banyak , diwakili 91 orang .",1
Sementara Kalimantan Utara hanya tiga orang .,0
"Oleh partai politik melalui perwakilannya di DPR , kewenangan DPR dibuat "" sesantuy "" mungkin .",1
"Anggota DPD sengaja "" disantaikan "" dengan kewenangan yang terbatas agar dominasi partai politik di parlemen tidak terganggu .",0
"Bahkan hanya untuk memperjuangkan kepentingan rakyat daerah yang diwakilinya saja , kewenangan DPD juga dibatasi .",0
"Padahal banyak anggota DPD yang memiliki pengalaman , rekam jejak dan kemampuan yang mumpuni .",0
"Sama seperti DPR , dalam mendukung tugas-tugas konstitusionalnya , DPD juga diberikan kewenangan menjalankan fungsi legislasi , budgeting .",1
"Namun , Pasal 22D UUD NRI 1945 menunjukkan bahwa fungsi dan kewenangan DPD sangat terbatas jika dikaitkan bahwa DPD adalah sebagai lembaga perwakilan rakyat seperti yang ditetapkan konstitusi .",1
"Kewenangannya di bidang legislasi hanya terbatas soal kepentingan daerah dan cuma sebatas mengusulkan serta membahas Rancangan Undang-Undang ( RUU ) , tetapi tidak ikut dalam pengambilan keputusan .",1
"Bisa dibayangkan , susahnya seorang anggota DPD RI memastikan undang-undang yang sudah mereka rancang , ajukan dan masuk prolegnas , isi atau pasal-pasalnya sudah sesuai kepentingan daerah .",0
Ini karena mereka tidak diberi hak ikut mengambil keputusan akhir dari proses legislasi .,0
"Itulah kenapa , undang-undang seperti omnibus law cipta kerja dan undang-undang minerba yang isinya mengeliminasi banyak kewenangan daerah bisa mulus disahkan .",0
"Dalam bidang pengawasan , DPD hanya sebatas diberi hak memberikan masukan kepada DPR sebagai bahan pertimbangan .",1
"Selain itu , tidak ada ketentuan yang mengatur hak DPD untuk meminta keterangan dari pejabat negara , pejabat pemerintah dan lainnya seperti yang diberikan kepada DPR .",0
"Padahal anggota DPD berkewajiban menyerap , menghimpun , menampung dan menindaklanjuti aspirasi masyarakat dan daerah .",1
"Kewenangan tambahan soal peraturan daerah ( perda ) misalnya , juga setengah hati diberikan .",0
"Dalam mengawasi perda serta raperda hanya bersifat konsultatif sehingga tidak ada kewajiban bagi pemerintah daerah ( gubernur , bupati , walikota dan DPRD ) untuk menjalankan rekomendasi oleh DPD .",0
"Dengan keterbatasan ini , sulit bagi anggota DPD bahkan tokoh seterkenal Komeng untuk maksimal bekerja baik merealisasikan visi misinya maupun memperjuangkan aspirasi warga yang diwakilinya .",0
"Penguatan DPD agar Lebih "" Uhuy "" Di usianya yang menjelang dua dekade , salah satu agenda utama DPD RI sejak berdiri hingga saat ini adalah penguatan kewenangan agar bisa setara dengan DPR .",1
"Ini karena setelah periode keempat pembentukannya , eksistensi DPD masih terus dipertanyakan .",1
"Bahkan wacana pembubaran sempat "" menyerang "" kelembagaan DPD beberapa tahun lalu .",1
Salah satu wacana pembubaran itu bahkan berasal dari sebuah partai politik .,1
"Hasil Mukernas PKB yang digelar pada 6 Februari 2016 mengusulkan untuk membubarkan DPD karena dipandang hanya menjadi "" aksesoris "" demokrasi .",1
"Memang tidak dapat dipungkiri , jika merujuk pada Pasal 22D ayat 1, ayat 2, dan ayat 3 UUD 1945 , DPD hanya ditempatkan sebagai auxiliary ( bantuan / hanya pelengkap ) terhadap fungsi DPR .",1
"Padahal , dasar isu pembentukan DPD saat pembahasan amandemen UUD 1945 pasca reformasi 1998 adalah menjadikan lembaga ini sebagai penyeimbang DPR dalam lembaga legislatif .",1
"Tidak sampai di situ , wewenang yang diberikan oleh UUD 1945 kemudian dilemahkan lagi melalui Undang-Undang MPR , DPR , DPD dan DPRD ( MD3 ) yang sejak awal memang didesain untuk melemahkan wewenang , fungsi , dan tugas DPD .",0
"Pendek kata , kewenangan konstitusional DPD sebagaimana diatur dalam Pasal 22D UUD 1945 semakin dikebiri , dan jelas tidak bisa mendukung pelaksanaan fungsi territorial representative yang dalam tataran empirik justru lebih berat ketimbang political representative yang diemban anggota DPR .",0
"Selama dua dekade ini , DPD sudah berjuang maksimal menggalang dukungan penguatan kewenangannya terutama melalui amandemen UUD NRI 1945 dan pengaturan DPD dalam undang-undang tersendiri atau keluar dari UU MD3 .",1
"Wacana penguatan DPD ini disambut baik oleh para akademisi , civil society , dan banyak ahli tata negara .",2
"Namun memang , diskursus penguatan DPD ini belum menjadi wacana publik luas .",1
"Padahal, keresahan masyarakat luas akan performa DPR menjalankan fungsi legislasi , pengawasan dan anggaran yang banyak mendapat kritikan , salah satu jawabannya adalah dengan menguatkan DPD agar ada proses check and balance di parlemen .",0
Mungkin sudah saatnya agenda penguatan DPD diarahkan untuk menggalang seluas mungkin dukungan publik.,2
Terpilihnya Komeng sebagai anggota DPD yang viral dan disambut publik luas dapat dijadikan momentum untuk menjadikan penguatan DPD sebagai diskursus publik .,2
Sangat berat melawan dominasi partai politik yang memang tidak ingin ada yang menandingi dominasi mereka di parlemen .,0
"Oleh karena itu , perlu desakan publik luas untuk menjadikan DPD lebih kuat .",1
"Tampaknya sembari berjuang mewujudkan visi besarnya mengembangkan dan memajukan seni budaya termasuk kuliner Indonesia ke pentas dunia , Komeng juga harus dijadikan ikon oleh DPD untuk menggalang dukungan publik agar kewenangannya dikuatkan setara DPR .",1
Ini penting agar kerja-kerja semua anggota DPD termasuk Komeng bisa lebih maksimal .,2
Publik luas harus segera disadarkan bahwa kedudukan DPD sebagai perwakilan teritorial dalam struktur parlemen adalah fundamental .,1
Ini karena Indonesia menganut prinsip pemerintahan daerah yang menjalankan otonomi seluas-luasnya dalam bingkai negara kesatuan .,1
Negara kesatuan ini hanya dapat bertahan jika kepentingan daerah yang plural ini dapat diakomodasi oleh pemerintah pusat melalui kebijakan legislasi .,1
"Seperti apa yang dikatakan Komeng , dia memilih DPD karena dapat menjadi alternatif yang efektif memperjuangkan aspirasi rakyat di daerah yang tidak ditampung dan dijalankan anggota DPR karena berbenturan dengan kepentingan partai politik yang mengusungnya .",2
"Semoga kehadiran Komeng membuka jalan bagi DPD untuk mendapat kewenangan yang lebih "" uhuy "" atau setara dengan DPR .",2
Tim Kampanye Nasional ( Timnas ) Anies Baswedan-Muhaimin Iskandar ( AMIN ) Bali mendatangi Kantor Badan Pengawas Pemilihan Umum ( Bawaslu ) Bali .,1
"Mereka , melalui kuasa hukumnya , melaporkan adanya beberapa dugaan kecurangan saat pemilu di tempat pemungutan suara ( TPS ) .",0
""" Ada suara-suara yang digelembungkan di paslon 02 , kemudian kami juga ada suara yang hilang meskipun suara itu dianggap kecil , karena satu suara sangat berarti , "" ujar Ketua Tim Hukum AMIN Bali Ahmad Baraas di Kantor Bawaslu Bali , Jumat ( 23/2/2024 ) .",0
Baraas tidak merinci jumlah laporan yang ia sampaikan ke Bawaslu Bali .,1
